native_exec_time,mt1_exec_time,mt2_exec_time,mt1_overhead,mt2_overhead
104468,136270,116844,30.4419,11.8467
192455,251906,189178,30.8909,-1.70274
83850,104289,79581,24.3757,-5.09123
260754,351477,305955,34.7926,17.3347
224304,288880,229759,28.7895,2.43197
169870,176138,139987,3.68988,-17.5917
271273,353329,287791,30.2485,6.08907
180605,225087,179478,24.6294,-0.624014
128509,173133,136155,34.7244,5.94978
182707,239376,186020,31.0163,1.81329
293266,373187,275322,27.2521,-6.11868
152461,197236,143028,29.3682,-6.18716
136006,176442,144639,29.731,6.34751
101108,126454,99447,25.0682,-1.6428
49645,58048,46616,16.9262,-6.10132
27280,41564,31820,52.3607,16.6422
30611,45208,28343,47.6855,-7.4091
31515,35764,27093,13.4825,-14.0314
91820,119437,95363,30.0773,3.85864
233749,304373,237498,30.2136,1.60386
244662,321531,257859,31.4184,5.39397
50200,63049,51016,25.5956,1.6255
65753,87050,68408,32.3894,4.03784
59605,82735,60769,38.8055,1.95286
59899,77688,60894,29.6983,1.66113
251382,341468,268439,35.8363,6.78529
209236,286212,213399,36.7891,1.98962
194138,231441,197153,19.2147,1.55302
42663,46646,35293,9.33596,-17.2749
34717,47785,38051,37.6415,9.60336
37972,48091,37957,26.6486,-0.0395028
58916,79458,63586,34.8666,7.92654
61473,77893,63812,26.7109,3.80492
243850,327135,257042,34.1542,5.40988
158853,196158,155536,23.484,-2.08809
135650,178897,138942,31.8813,2.42683
130196,164930,150999,26.6782,15.9782
220835,297661,238443,34.7889,7.97337
219637,295787,272149,34.6708,23.9085
179512,239911,194295,33.6462,8.2351
243932,346760,267755,42.1544,9.76625
167573,216528,179049,29.2141,6.84836
215200,303187,226077,40.8862,5.05437
51869,65065,48884,25.441,-5.75488
47806,61854,50891,29.3854,6.45316
29870,51262,41267,71.617,38.1553
27656,36647,30106,32.5101,8.85884
26454,35245,29474,33.2313,11.416
38686,48240,39604,24.6963,2.37295
41832,56409,42764,34.8465,2.22796
25330,32245,27184,27.2996,7.31938
24500,32355,26437,32.0612,7.90612
25293,32251,24494,27.5096,-3.15898
251249,323085,262582,28.5916,4.51066
99113,122152,109483,23.2452,10.4628
85316,118234,106229,38.5836,24.5124
68774,93107,74063,35.3811,7.69041
71758,96783,69812,34.8742,-2.71189
62607,85830,64396,37.0933,2.85751
240183,313337,248468,30.4576,3.44945
196221,267126,209467,36.1353,6.75055
136173,178522,145067,31.0994,6.5314
89680,121339,99257,35.3022,10.6791
27567,35520,27903,28.8497,1.21885
30411,51187,42275,68.3174,39.0122
276087,345760,280946,25.2359,1.75995
169891,196685,155581,15.7713,-8.42305
150989,195535,155953,29.5028,3.28766
68022,90176,68756,32.5689,1.07906
53444,70008,55364,30.9932,3.59255
257046,343405,264156,33.5967,2.76604
161205,197790,159093,22.6947,-1.31013
222830,289802,236256,30.0552,6.02522
116790,136454,108612,16.8371,-7.00231
71194,98094,78866,37.7841,10.7762
264035,357869,284695,35.5385,7.82472
173673,229186,183256,31.9641,5.51784
139874,182166,145977,30.2358,4.36321
260688,336890,281440,29.2311,7.96047
237237,313565,225479,32.1737,-4.95623
109959,141848,113109,29.0008,2.8647
88588,112272,93956,26.735,6.05951
126094,157292,132734,24.7419,5.26591
75965,97452,83522,28.2854,9.948
271597,330356,272004,21.6346,0.149854
174767,233361,174160,33.5269,-0.34732
147034,187000,171081,27.1815,16.3547
65659,82975,71418,26.3726,8.77107
215133,294246,230801,36.774,7.28294
181341,256367,194860,41.3729,7.45502
118524,173664,125906,46.5222,6.22827
39376,50408,45344,28.0171,15.1564
39790,56459,45758,41.8924,14.9987
108985,137987,114827,26.611,5.36037
234939,303185,231058,29.0484,-1.65192
234636,309356,255855,31.8451,9.04337
141223,188367,141833,33.3827,0.431941
66433,88285,68428,32.8933,3.00303
50927,66073,51962,29.7406,2.03232
220543,292043,230966,32.42,4.72606
215930,289247,228621,33.9541,5.87737
174231,230223,187136,32.1366,7.40683
67931,89830,69657,32.2371,2.54081
74102,99824,74725,34.7116,0.840733
246514,321514,265956,30.4242,7.88677
150940,190902,154665,26.4754,2.46787
135204,171841,131662,27.0976,-2.61974
130495,179204,133281,37.3263,2.13495
94539,126604,105046,33.9172,11.1139
103001,136031,101334,32.0676,-1.61843
273672,352507,280102,28.8064,2.34953
186721,234763,181114,25.7293,-3.00288
139373,182164,141030,30.7025,1.1889
88802,122042,95948,37.4316,8.04712
247196,305781,246047,23.6998,-0.464813
