exec_key,instr_list,original_val,corrupted_val,affected_bit_pos,sdc,benign,crash,error,value_diff,dyn_instr_count,detection_count
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699675344796,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140347169093676,140347169093644,5,1,0,0,0,53599.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699681915328,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140060825201172,140060825201156,4,1,0,0,0,1096.0,33619968,0
1461699683581358,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",139957227833724,139957227833726,1,1,0,0,0,1474930831.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699687341679,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140111991470892,140111991470860,5,1,0,0,0,2072.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699698267379,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140630330060716,140630330060204,9,1,0,0,0,40320.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699703456158,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140356227644060,140356227645084,10,1,0,0,0,176.0,33619968,0
1461699705134721,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140387516607724,140387516345580,18,1,0,0,0,40404.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699715488119,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140261395038132,140261395038133,0,1,0,0,0,788621399.0,33619968,0
1461699717190903,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140079359690492,140079359690748,8,1,0,0,0,15936.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699719955333,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140557007522932,140557007521908,10,1,0,0,0,216.0,33619968,0
1461699721669602,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140460440683980,140460440700364,14,1,0,0,0,2064.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699727507405,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140202836533956,140202836534980,10,1,0,0,0,261.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699737937666,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140501544786180,140501544786212,5,1,0,0,0,456.0,33619968,0
1461699739637666,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140158303629984,140158303629952,5,1,0,0,0,1616.0,33619968,0
1461699741379080,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140048894280596,140048894346132,16,1,0,0,0,9556866.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699746473256,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",139845991237276,139845991237277,0,1,0,0,0,1325497407.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699750861095,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140076138124212,140076138124084,7,1,0,0,0,12000.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699756339010,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140184193881600,140184193881616,4,1,0,0,0,1480.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699759347395,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140127081994148,140127081994164,4,1,0,0,0,988.0,33619968,0
1461699761031145,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140094346253240,140094346253208,5,1,0,0,0,3120.0,33619968,0
1461699762750393,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140364655057108,140364655065300,13,1,0,0,0,3280.0,33619968,0
1461699764443750,"  %44 = getelementptr inbounds i32# i32* %43# i64 %4",140586611645604,140586611661988,14,1,0,0,0,3808.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
1461699768186392,"  %35 = getelementptr inbounds i32# i32* %34# i64 %3",140361599695940,140361599728708,15,1,0,0,0,5216.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
Not Available,,,,,0,0,1,0,1.0,33619968,0
